,author,title,source,date,target
9409,By Lola Duffort ,"Maggie Hassan ""raised tuition, making it the highest in America.""",National Republican Senatorial Committee," October 6, 2016",barely-true
9410,By Lauren Carroll ,"Says Hillary Clinton ""went toe-to-toe with Russia as secretary of state to do the New START agreement to reduce Russia's nuclear stockpile.""",Tim Kaine," October 6, 2016",half-true
9411,By Ellen Cagle ,"""In the state legislature, I supported Second Amendment rights.""",Jason  Kander," October 6, 2016",mostly-true
9412,By Ella Nilsen ,"As a result of Chris Sununu’s vote against a Planned Parenthood contract, ""nearly 3,000 fewer"" women and families statewide accessed health care for birth control, cancer screenings and annual exams.",Colin Van Ostern," October 6, 2016",barely-true
9413,By Anthony Cave ,"Says marijuana use among Colorado high school students ""has not increased since legalization.""",Campaign to  Regulate Marijuana Like Alcohol ," October 6, 2016",half-true
9414,By Anna Orso ,"""Toomey and Trump will ban abortion and punish women who have them.""",NARAL Pro-Choice America," October 6, 2016",false
9415,By Tom Kertscher ,"""In her campaign for president, Hillary Clinton has received $100 million in contributions from Wall Street and hedge funds.""",Donald Trump," October 6, 2016",false
9416,By Linda Qiu ,"Says Donald Trump ""hasn’t broken his promise"" to release his tax returns.",Mike Pence," October 5, 2016",false
9417,By Allison Graves ,"Says she ""voted for a statewide fracking ban.""",Dana Young," October 5, 2016",half-true
9418,By Louis Jacobson ,"Says Donald Trump, in his campaign announcement speech, ""also said, ‘And many of them (Mexicans) are good people. You keep leaving that out of your quote.""",Mike Pence," October 5, 2016",half-true
9419,By Louis Jacobson ,"""Gov. Pence said, inarguably, Vladimir Putin is a better leader than President Obama.""",Tim Kaine," October 5, 2016",mostly-true
9420,By Alan Gathright ,"Says state Sen. Morgan Carroll's votes made ""it easier to sue doctors, small businesses, even nurses. Putting her own shady interests first.""",Mike Coffman," October 5, 2016",false
9421,By Marc Filippino ,"Mike Madigan made a fortune on tax appeals… Saving his friends millions... It’s an inside game played by people like Merry Marwig, Madigan’s hand-picked candidate. When Marwig thought her property taxes were too high she got them lowered at your expense. Saved so much she did it again. Marwig and Madigan: Profiting from the same corrupt system.",Citizens for Michael McAuliffe and House Republican Organization," October 5, 2016",barely-true
9422,By Chris Nichols ,"Says GOP Congressional candidate Scott Jones ""wants to build a wall. He wants to round people up and deport folks.""",Ami Bera," October 5, 2016",half-true
9423,By Dan Clark ,"Says Rep. John Katko ""promised he wouldn’t vote to defund Planned Parenthood and since he’s been in office he’s done that four times""",Colleen Deacon," October 5, 2016",true
9424,By Tom Kertscher ,"Says Ron Johnson ""helped companies ship jobs overseas.""",Russ  Feingold," October 5, 2016",false
9425,By Jon Greenberg ,"Says Philando Castile ""had been stopped by police 40 or 50 times before that fatal incident.""",Tim Kaine," October 5, 2016",true
9426,By Lauren Carroll ,"Says Donald Trump ""never said that"" more nations should get nuclear weapons.",Mike Pence," October 5, 2016",barely-true
9427,By C. Eugene Emery Jr. ,"Says Hillary Clinton and Tim Kaine ""want to expand (Obamacare) into a single-payer program.""",Mike Pence," October 5, 2016",barely-true
9428,By Louis Jacobson ,"Donald Trump would ""engage in a risky scheme to privatize Social Security.""",Tim Kaine," October 5, 2016",barely-true
9429,By Sean Gorman ,"""Richard Nixon released tax returns when he was under audit.""",Tim Kaine," October 5, 2016",true
9430,By Miriam Valverde ,"""When Donald Trump spoke in Phoenix, he looked the audience in the eye and he said ‘no, we're building a wall and we're deporting everybody.’ He said, quote, ‘they will all be gone. They will all be gone.’ This is one of the ones where you can go to the tape on it and see what Donald Trump has said.""",Tim Kaine," October 4, 2016",half-true
9431,By Jon Greenberg ,"""10 cents on the dollar from the Clinton Foundation goes to charitable causes.""",Mike Pence," October 4, 2016",false
9432,By Louis Jacobson ,"Says that during President Barack Obama’s tenure, the United States has created ""15 million new jobs.""",Tim Kaine," October 4, 2016",half-true
9433,By Jon Greenberg ,"Says ""Iraq has been overrun by ISIS because Hillary Clinton failed to renegotiate . . . a status of forces agreement.""",Mike Pence," October 4, 2016",barely-true
9434,By Louis Jacobson ,"""In the state of Indiana, I’ve signed more than $3.5 billion in tax relief.""",Mike Pence," October 4, 2016",half-true
9435,By Warren Fiske ,"Says Tim Kaine ""actually tried to raise taxes by about $4 billion.""",Mike Pence," October 4, 2016",mostly-true
9436,By Amy Sherman ,"""First, Donald Trump said wages are too high, and both Donald Trump and Mike Pence think we ought to eliminate the federal minimum wage.""",Tim Kaine," October 4, 2016",half-true
9437,By Mark Dent ,"Says Senate candidate Katie McGinty ""made thousands from companies she previously regulated.""",Freedom Partners Action Fund," October 4, 2016",true
9438,By Cara Lombardo ,"The U.S. Senate has ""one manufacturer — that'd be me.""",Ron Johnson," October 4, 2016",mostly-true
9439,By Matt Dietrich ,"Even our attorney general who is a strong Democrat, she has said that we need causation in our workers’ comp system. That’s the No. 1 thing pushing our manufacturing jobs out of Illinois.",Bruce Rauner," October 3, 2016",true
9440,By Sean Gorman ,"""The Virginia population increased by just 8 percent from 2005 to 2015, but the per capita spending in the budget increased by a whopping 38 percent.""",Virginia First Foundation," October 3, 2016",half-true
9441,By Anna Maples ,"""A rural hospital in Missouri closes every 8 months. The legislature’s failure to expand Medicaid has brought crisis to many of Missouri’s rural health care providers.""",Chris Koster," October 3, 2016",half-true
9442,By Warren Fiske ,"On Tim Kaine: ""In exchange for campaign contributions, he appointed a radical jihadi to the Virginia Immigration Commission.""",Chain email," October 3, 2016",false
9443,By Chris Nichols ,"""Not one penny of (California’s Prop 67) bag ban tax goes to the environment.""",No  on 67," October 3, 2016",half-true
9444,By Aaron Sharockman ,"""The 'New York Times' writes this long story"" about Donald Trump’s tax returns but ""didn't point out there was no wrongdoing"" until paragraph 18.",Rudy Giuliani," October 2, 2016",false
9445,By Louis Jacobson ,"The Great Recession emerged ""in large part because of tax policies that slashed taxes on the wealthy, failed to invest in the middle class, took their eyes off of Wall Street, and created a perfect storm.""",Hillary Clinton," October 2, 2016",barely-true
9446,By Linda Qiu ,"""Undocumented immigrants pay $12 billion of taxes every single year.""",María Teresa  Kumar," October 2, 2016",true
9447,By Lauren Carroll ,"Says Hillary Clinton has ""taken hundreds of millions from those countries"" where ""women are stoned, where women are killed for adultery and women can't drive.""",Rudy Giuliani," October 2, 2016",barely-true
9448,By Dan Clark ,"""No fracking waste is being dumped in New York State""",Basil Seggos," September 30, 2016",false
9449,By Anthony Cave ,"Says Proposition 205 ""blocks market entry"" for new marijuana dispensaries.",Arizonans for Responsible Drug Policy," September 30, 2016",barely-true
9450,By Tom Kertscher ,"Says Tom Nelson ""backed higher taxes on Social Security, costing Wisconsin seniors $95 million.""",Mike Gallagher," September 30, 2016",false
9451,By Louis Jacobson ,"""Since I came into office … we have increased the VA budget by 85 percent.""",Barack Obama," September 30, 2016",half-true
9452,By Tom Kertscher ,"Says Hillary Clinton ""gave up 20 percent of America's uranium supply to Russia.""",Donald Trump," September 30, 2016",barely-true
9453,By Joshua Gillin ,"""Amendment 2 will bring kid-friendly pot candy to Florida.""",Vote No On 2," September 30, 2016",half-true
9454,By PolitiFact Staff ,"""If you look at any real analysis,"" the Trans-Pacific Partnership is ""going to generate better-paying jobs that are more stable.""",Kasim Reed," September 30, 2016",half-true
9455,By C. Eugene Emery Jr. ,"Says ""Gary Johnson and the Libertarian Party want to get rid of the public school system.""",Chelsea Clinton," September 29, 2016",half-true
9456,By Amy Sherman ,"Says Miami Congressman Carlos ""Curbelo supports drilling offshore"" and ""repeatedly voted against President Obama's ability to fight pollution and combat climate change.""",Democratic Congressional Campaign Committee," September 29, 2016",barely-true
9457,By Joshua Gillin ,"Says Hillary Clinton ""wants to bring in thousands of refugees to America from all around the world without any kind of security screening.""",Rick Scott," September 29, 2016",false
9458,By Nadia Pflaum ,"Says Rob Portman ""even voted to allow people on the terrorism watch list to buy guns.""",Ted Strickland," September 29, 2016",false
9459,By Miriam Valverde ,"""These people that we were going to deport for good reason ended up becoming citizens. Ended up becoming citizens. And it was 800. And now it turns out it might be 1,800, and they don't even know.""",Donald Trump," September 29, 2016",mostly-true
9460,By W. Gardner Selby ,"""Not one illness has been reported from raw milk in"" Texas ""in more than four years. A total of six illnesses have occurred in the last 20 years.""",Dan Flynn," September 29, 2016",barely-true
9461,By Dylan Baddour ,"Says most illegal immigrants draw ""welfare benefits, they’re sending their kids to school, they’re using the public services.""",Tom DeLay," September 28, 2016",half-true
9462,By Riley Snyder ,"Says ""Catherine Cortez Masto failed Nevada rape victims. While attorney general, thousands of rape kits were never sent for DNA analysis.""",Senate Leadership Fund," September 28, 2016",half-true
9463,By Alan Gathright ,"Says Colorado Democratic congressional candidate Morgan Carroll ""racked up $11 billion in new spending"" in the state Legislature.",National Republican Congressional Committee," September 28, 2016",barely-true
9464,By Louis Jacobson ,Say photographs of Hillary Clinton at the debate show what could be an earpiece.,Bloggers," September 28, 2016",pants-fire
9465,By Lauren Carroll ,"Says ""no, you’re wrong,"" responding to the assertion that stop-and-frisk was ruled unconstitutional in New York.",Donald Trump," September 28, 2016",barely-true
9466,By Lola Duffort ,"Maggie Hassan ""missed nearly every university system board meeting.""",National Republican Senatorial Committee," September 28, 2016",mostly-true
9467,By Madeleine Doubek ,"""Republican Mark Kirk is outsourcing his campaign to a Super PAC funded almost exclusively by a bunch of hedge fund billionaires. ... I don’t have a Super PAC.""",Tammy Duckworth," September 28, 2016",barely-true
9468,By Chris Nichols ,"""Brock Turner’s early release will be a regular occurrence if Prop. 57 passes.""",Stop 57 campaign," September 28, 2016",barely-true
9469,By Tom Kertscher ,"Says that except for Donald Trump, ""every other major party nominee"" for the past 40 years has released their tax returns.",Tammy Baldwin," September 28, 2016",mostly-true
9470,By C. Eugene Emery Jr. ,"Says to Hillary Clinton, ""You heard what I said about (the Trans-Pacific Partnership trade deal), and all of a sudden you were against it.""",Donald Trump," September 27, 2016",false
9471,By Louis Jacobson ,"""NATO is opening up a major terror division. ... I'm sure I'm not going to get credit for it, but that was largely because of what I was saying and my criticism of NATO.""",Donald Trump," September 27, 2016",false
9472,By Amy Sherman ,"Says Marco Rubio ""voted to slash school funding by billions of dollars and would eliminate the Department of Education.""",AFSCME People," September 27, 2016",mostly-true
9473,By Miriam Valverde ,"Says ""Hillary Clinton's plan would bring in 620,000 refugees in her first term, alone, with no effective way to screen or vet them. Her plan would cost $400 billion in terms of lifetime welfare and entitlement costs.""",Donald Trump," September 27, 2016",false
9474,By Louis Jacobson ,"In New York City, ""murders are up.""",Donald Trump," September 27, 2016",barely-true
9475,By Linda Qiu ,"Says Hillary Clinton’s energy agenda ""will cost the U.S. economy over $5 trillion""",Donald Trump," September 27, 2016",false
9476,By Jon Greenberg ,"Says top Clinton advisers ""were pressing"" birther movement stories ""very hard.""",Donald Trump," September 27, 2016",false
9477,By C. Eugene Emery Jr. ,"""The only years that anybody's ever seen"" of Donald Trump’s tax returns ""showed he didn't pay any federal income tax.""",Hillary Clinton," September 27, 2016",barely-true
9478,By Steve Contorno ,"Says Donald Trump ""started his career back in 1973 being sued by the Justice Department for racial discrimination because he would not rent apartments in one of his developments to African-Americans.""",Hillary Clinton," September 27, 2016",true
9479,By Louis Jacobson ,"According to ""independent experts,"" Donald Trump's tax plan ""would blow up the debt by over $5 trillion and would in some instances disadvantage middle-class families compared to the wealthy.""",Hillary Clinton," September 27, 2016",true
9480,By Miriam Valverde ,"""In Chicago, they've had thousands of shootings, thousands since Jan. 1. Thousands of shootings.""",Donald Trump," September 27, 2016",true
9481,By Lauren Carroll ,"""I did not support the war in Iraq … The record shows that I’m right.""",Donald Trump," September 26, 2016",false
9482,By Amy Sherman ,"Says Donald Trump ""publicly invited Putin to hack into Americans’ (emails).""",Hillary Clinton," September 26, 2016",half-true
9483,By Steve Contorno ,"Says Hillary Clinton called the Trans-Pacific Partnership ""the gold standard. You called it the gold standard of trade deals. You said it’s the finest deal you’ve ever seen.""",Donald Trump," September 26, 2016",mostly-true
9484,By Louis Jacobson ,"""The gun epidemic is the leading cause of death of young African-American men, more than the next nine causes put together.""",Hillary Clinton," September 26, 2016",true
9485,By Louis Jacobson ,"""You will learn more about Donald Trump by going down to the Federal Elections"" to see the financial disclosure form than by looking at tax returns.",Donald Trump," September 26, 2016",false
9486,By Lauren Carroll ,"""I did not — I did not — I do not say that. I do not say that"" climate change is a hoax perpetrated by the Chinese.",Donald Trump," September 26, 2016",barely-true
9487,By Amy Sherman ,"Says Donald Trump once suggested that he ""would try to negotiate down the national debt.""",Hillary Clinton," September 26, 2016",mostly-true
9488,By Jon Greenberg ,"Says Donald Trump ""was one of the people who rooted for the housing crisis. He said back in 2006, ‘Gee, I hope it does collapse because then I can go in and buy some and make some money.’ """,Hillary Clinton," September 26, 2016",mostly-true
9489,By Sean Gorman ,"In Richmond, Va., there’s ""more moving vans coming in than going out.""",Jack Berry," September 26, 2016",mostly-true
9490,By C. Eugene Emery Jr. ,"Says Hillary Clinton and Tim Kaine ""want to shut down shale, and shut down natural gas.""",Donald Trump," September 25, 2016",half-true
9491,By Allie Morris ,"""During her first four years in Washington Sen. Ayotte voted with the Koch brothers nearly 90 percent of the time.""",Maggie Hassan," September 24, 2016",half-true
9492,By Dan Clark ,"""Most private sector jobs in the history of Buffalo exist in Buffalo today""",Andrew Cuomo," September 23, 2016",true
9493,By Bobby Cervantes ,Says a change in law he carried stopped a $100 million tax increase in the Dallas school district.,Paul Bettencourt," September 23, 2016",true
9494,By Fauzeya Rahman ,"""Welcome to #Houston, the most #diverse city in #America.""",Sylvester Turner," September 23, 2016",mostly-true
9495,By Jon Greenberg ,"""Former President Bill Clinton and his Clinton Health Access Initiative (CHAI) distributed ‘watered-down’ HIV/AIDS drugs to patients in sub-Saharan Africa.""",Daily Caller," September 23, 2016",false
9496,By Linda Qiu ,"Says Israel profiles based on ethnicity and ""does it very successfully.""",Donald Trump," September 23, 2016",half-true
9497,By Dan Clark ,"Tom Suozzi raised taxes ""by hundreds of millions of dollars"" as Nassau County executive.",National Republican Congressional Committee," September 23, 2016",true
9498,By Tom Kertscher ,"""Sixty percent of Americans now support legalizing marijuana.""",Gary Johnson," September 23, 2016",mostly-true
9499,By Joshua Gillin ,"Says ""Marco Rubio would take away a woman’s right to choose for victims of rape or incest.""",Patrick Murphy," September 23, 2016",mostly-true
9500,By Jim Tharpe ,"Hillary Clinton said, ""with a straight face, that the terrorist attacks this weekend were caused by Donald J. Trump""",Newt Gingrich," September 23, 2016",half-true
9501,By Tom Kertscher ,"Says Mike Gallagher’s plan ""would cut Social Security benefits for two-thirds of seniors.""",Tom Nelson," September 23, 2016",half-true
9502,By C. Eugene Emery Jr. ,"Says Donald Trump has outlined ""policies that read like a Kremlin wish list.""",Michael Morell," September 22, 2016",mostly-true
9503,By Kevin Hoffman ,"""My opponent… was on both the city of Chicago payroll and the state of Illinois payroll simultaneously, taking full salary, funding her full pension benefits both as a city worker and as a state worker for 10 years.""",Leslie Geissler Munger," September 22, 2016",half-true
9504,By Louis Jacobson ,"""Our African-American communities are absolutely in the worst shape they've ever been in before. Ever. Ever. Ever.""",Donald Trump," September 22, 2016",pants-fire
9505,By Amy Sherman ,"Says Marco Rubio voted ""against every bill that would have helped keep our families safe. He even voted against a bipartisan measure, introduced by a Republican, to prevent people on the no-fly list from purchasing guns.""",Patrick Murphy," September 22, 2016",barely-true
9506,By Lauren Carroll ,"Says New START, passed while Clinton was secretary of state, is a ""treaty cutting Russia’s nuclear arms.""",Hillary Clinton," September 21, 2016",half-true
9507,By Louis Jacobson ,"""I never said"" that Muslims would be subject to profiling under his policies.",Donald Trump," September 21, 2016",false
9508,By Anthony Cave ,"Says Ann Kirkpatrick walked out ""on constituents when questioned"" on the Affordable Care Act.",John McCain," September 21, 2016",half-true
9509,By Mark Dent ,"""In Harrisburg, I passed more bills than all the Democrats combined, in terms of legislation affecting the city.""",John Taylor," September 21, 2016",true
9510,By Miriam Valverde ,"Says comprehensive immigration reform ""will add $700 billion to our economy.""",Hillary Clinton," September 21, 2016",half-true
9511,By Nadia Pflaum ,"""We spend more per student than almost any other major country in the world.""",Donald Trump," September 21, 2016",true
9512,By Louis Jacobson ,"""Over the past eight years, black youth unemployment is up.""",Republican National Committee," September 21, 2016",barely-true
9513,By Chris Nichols ,"""Since 1978, California has spent $5 billion to put 13 people to death.""",Tom Steyer," September 21, 2016",barely-true
9514,By Tom Kertscher ,"Says Russ Feingold was the ""only senator to vote against Homeland Security.""",Let America Work," September 21, 2016",false
9515,By Ellen Cagle ,"""We had the Democratic Governors Association and the Obama political machine come into a Republican primary to try and rig the election by spending $1 million against me in the last couple of days.""",Eric  Greitens," September 21, 2016",mostly-true
9516,By Alan Gathright ,Says eight Americans died in a knife attack at a Minnesota mall.,Tom Tancredo," September 20, 2016",false
9517,By Joshua Gillin ,"Says ""Patrick Murphy’s ‘Pay More’ energy agenda means you could pay another $500 a year for your utility bills!""",Americans for Prosperity: Florida," September 20, 2016",barely-true
9518,By Joshua Gillin ,"Says Charlie Crist ""stood there, over 3 African-American prisoners in chains, on their knees, on the side of the road. Saying that it was a great sight. Saying we needed to bring it to Florida. And you did this — whether you know or not — on the eve of Juneteenth, the day the African-American community celebrates the end of slavery.""",David Jolly," September 19, 2016",half-true
9519,By Allison Graves ,"""In the mid 1990s, in our state, (Florida was) No. 1 in violent crime in America. ... The only concern I had was for the citizens of Florida, who were subjected to a violent crime every three minutes and 45 seconds.""",Charlie Crist," September 19, 2016",true
9520,By Alan Gathright ,"Says that Republican Darryl Glenn has described Democrats as ""evil"" and has said he's ""tired of hearing about Republicans reaching across the aisle.""",Michael Bennet," September 19, 2016",true
9521,By Riley Snyder ,"""Latinos in Nevada support Educational Savings Accounts, helping more than 450,000 students access better schools. But Catherine Cortez Masto is against it.""",LIBRE Initiative," September 19, 2016",mostly-true
9522,By Rye Druzin ,"""Texas has lost the most law enforcement officers in the line of duty of any state in America.""",Charley Wilkison," September 19, 2016",true
9523,By Dan Clark ,"In the past decade in New York State ""more than 30 current and former state officeholders have been convicted, sanctioned or accused of wrongdoing — more than any other state.""",Elaine Phillips," September 19, 2016",true
9524,By Louis Jacobson ,"""300,000 Floridians have lost their health insurance"" as a result of Obamacare.",Americans for Prosperity," September 19, 2016",false
9525,By C. Eugene Emery Jr. ,"""Latinos are 17 percent of our country's population but hold only 2 percent of its wealth.""",Hillary Clinton," September 19, 2016",true
9526,By Warren Fiske ,"""Tim Kaine hiked tuition as governor, but now claims to champion affordability.""",Republican National Committee," September 19, 2016",half-true
9527,By Miriam Valverde ,"""Within just a few years, immigration as a share of national population is set to break all historical records.""",Donald Trump," September 19, 2016",mostly-true
9528,By C. Eugene Emery Jr. ,"Says Hillary Clinton and millennials have the same positions on climate change, abortion rights, immigration reform, gay rights and college affordability. ""Donald Trump doesn't.""",Tim Kaine," September 18, 2016",mostly-true
9529,By Dan Clark ,"If upstate New York split from downstate ""the economic indicators of upstate New York would be among the lowest in the country.""",Robert Duffy," September 16, 2016",mostly-true
9530,By Louis Jacobson ,"""I finished"" the controversy about where President Barack Obama was born.",Donald Trump," September 16, 2016",pants-fire
9531,By Jon Greenberg ,"""Hillary Clinton and her campaign of 2008 started the birther controversy.""",Donald Trump," September 16, 2016",false
9532,By Aaron Sharockman ,On whether Barack Obama was born in the United States.,Donald Trump," September 16, 2016",full-flop
9533,By Amy Sherman ,"Says ""Marco Rubio wanted to cut Social Security and Medicare because he said they’re bankrupting our country.""",Senate Majority PAC," September 16, 2016",half-true
9534,By Mark Dent ,McGinty previously told a local community newspaper in her native Philadelphia that she 'has found an alarming undercurrent of misinformed people in the 'T' part of the state' outside of Philadelphia and Pittsburgh.,Pat Toomey," September 16, 2016",false
9535,By Tom Kertscher ,"Says she ""would bring 186,740 new jobs to Wisconsin"" and ""Donald Trump would cost Wisconsin 61,050 jobs.""",Hillary Clinton," September 16, 2016",half-true
9536,By Jim Tharpe ,"In Georgia, women earn 82 cents for every dollar earned by men.",Jim  Barksdale," September 16, 2016",half-true
9537,By Chris Nichols ,"""Over the last 40 years, this country’s prison population has grown by 500 percent.""",Kamala Harris," September 16, 2016",mostly-true
9538,By Matt Dietrich ,"Mark Kirk’s claim of national security expertise is ""based on his military record which he lied about at least 10 times.""",Tammy Duckworth," September 15, 2016",mostly-true
9539,By Katherine Burns ,"""The head of the IRS ordered 24,000 emails erased before Congress could review them, making sure the American people will never know the real truth.""",John  Fleming," September 15, 2016",false
9540,By Nadia Pflaum ,"Says Ted Strickland supported giving $150 billion to Iranian regime that persecutes women, Christians and gays.",American Unity PAC," September 15, 2016",false
9541,By Amy Sherman ,"Says Patrick ""Murphy embellished, according to reports, his University of Miami academic achievement.""",Marco Rubio," September 15, 2016",mostly-true
9542,By W. Gardner Selby ,"""If Texas were a country our economy would rank # 10...in the WORLD.""",Greg Abbott," September 15, 2016",mostly-true
9543,By Jon Greenberg ,"""One extra year of schooling for girls reduces infant mortality rates among their children by up to 10 percent.""",Ertharin Cousin," September 15, 2016",half-true
9544,By Sean Gorman ,"""When Moammar Gadhafi was set to visit the United Nations, and no one would let him stay in New York, Trump allowed Gadhafi to set up an elaborate tent at his Westchester County (New York) estate.""",Tim Kaine," September 15, 2016",true
9545,By Louis Jacobson ,"""My opponent has no child care plan.""",Donald Trump," September 14, 2016",pants-fire
9546,By Joshua Gillin ,"Says ""Patrick Murphy is the only candidate to have voted against every measure to fund Zika.""",Marco Rubio," September 14, 2016",false
9547,By Linda Qiu ,"Says the Donald J.Trump Foundation's money ""is his money.""",Kellyanne Conway," September 14, 2016",false
9548,By Lauren Carroll ,"""Trump Management was charged with discriminating against African-Americans and breaking federal law.""",Hillary Clinton," September 14, 2016",true
9549,By W. Gardner Selby ,"""If Congress fails to act, the Obama administration intends to give away control of the internet to an international body akin to the United Nations.""",Ted Cruz," September 14, 2016",false
9550,By C. Eugene Emery Jr. ,"""You've got a medical report on me that meets the same standard as Mitt Romney and Barack Obama.""",Hillary Clinton," September 14, 2016",mostly-true
9551,By Miriam Valverde ,"Says U.S.-Mexico border has ""1 million legal border crossings each and every day.""",Donald Trump," September 14, 2016",mostly-true
9552,By Tom Kertscher ,"Says Hillary Clinton aide Huma Abedin has ""ties to the Muslim Brotherhood.""",Sean Duffy," September 14, 2016",false
9553,By Aaron Sharockman ,"Says Hillary Clinton had an ""undercover nurse"" with her at the Sept. 11 memorial ceremony in New York.",Bloggers," September 13, 2016",pants-fire
9554,By Louis Jacobson ,"Says Donald Trump's foundation ""took money other people gave to his charity and then bought a six-foot-tall painting of himself.""",Barack Obama," September 13, 2016",true
9555,By Allison Graves ,"""The Germans, the French, countries that opposed us in the (Iraq) war, all believed (Saddam Hussein) had weapons of mass destruction.""",Paul Wolfowitz," September 13, 2016",barely-true
9556,By Louis Jacobson ,"Nevada Republican Senate nominee ""Joe Heck voted to criminalize abortion for rape victims.""",Planned Parenthood Votes," September 13, 2016",half-true
9557,By Linda Qiu ,"Heroin comes in the United States ""from the southern border.""",Donald Trump," September 13, 2016",true
9558,By Louis Jacobson ,"Says ""76 percent of all voters in the United States say they want Johnson-Weld, by name, in the presidential debates.""",William Weld," September 13, 2016",half-true
9559,By Chris Nichols ,"California’s Prop 55 ""prevents $4 billion in new cuts to our schools.""",Yes on 55," September 13, 2016",barely-true
9560,By Ella Nilsen ,Says crime is ‘rising’ in Manchester and has gone up 19 percent under Mayor Ted Gatsas.,Chris Sununu," September 12, 2016",half-true
9561,By Allie Morris ,"Chris ""Sununu supported Obama’s Common Core agenda, taking away local control of our schools.""",Ted Gatsas," September 12, 2016",barely-true
9562,By Miriam Valverde ,"For immigrants with visa overstays, ""we make no effort to hold them accountable to that or uphold the law.""",Mike Pence," September 12, 2016",half-true
9563,By C. Eugene Emery Jr. ,"Say ""71 percent of doctors say Hillary's health concerns are 'serious' and 'could be disqualifying.' """,Bloggers," September 12, 2016",false
9564,By Sean Gorman ,"Barack Obama has ""doubled our national debt. Doubled it. It's going to be close to $20 trillion when he leaves.""",Donald Trump," September 12, 2016",half-true
9565,By Will Doran ,"North Carolina’s coast ""is possibly the best place in (the) U.S. for an offshore windfarm.""",Duane Hall," September 9, 2016",mostly-true
9566,By Joshua Gillin ,"Says ""Patrick Murphy was named one of America's least effective congressmen.""",American Future Fund," September 9, 2016",barely-true
9567,By Lauren Carroll ,"""That's legal: If you find out about somebody else's salary even if you're doing exactly the same job, you can be retaliated against, including being fired, in most places.""",Hillary Clinton," September 9, 2016",barely-true
9568,By Brianne Pfannenstiel ,"""After 9/11, Jim put us all first by serving for 23 months in Iraq, the war’s longest tour.""",Jim Mowrer," September 9, 2016",barely-true
9569,By Anthony Cave ,"Says Hillary Clinton has ""not answered a single question"" about her immigration plan.",Donald Trump," September 9, 2016",pants-fire
9570,By Louis Jacobson ,"""Our veterans, in many cases, are being treated worse than illegal immigrants.""",Donald Trump," September 9, 2016",false
9571,By Eric Litke ,Says Ron Johnson gave himself a $10 million 'sweetheart corporate payout',Russ  Feingold," September 9, 2016",half-true
9572,By C. Eugene Emery Jr. ,"Says President Barack Obama ""has taken less vacation days than any other president in a generation,"" while Congress ""has taken more vacation days than any other Congress in history.""",Occupy Democrats," September 9, 2016",pants-fire
9573,By Kevin Hoffman ,"""In an interview with the Chicago Tribune's Editorial Board, Comptroller Leslie Munger says that in order to balance a budget, the state would have to 'cut social services completely.'""",SEIU Healthcare Illinois & Indiana ," September 8, 2016",false
9574,By Alan Gathright ,"Says Dick Cheney ""supported gay marriage sooner"" than Hillary Clinton.",AlternativePAC," September 8, 2016",true
9575,By Joshua Gillin ,"Says Patrick Murphy advocated for ""cuts to Social Security and Medicare.""",National Republican Senatorial Committee," September 8, 2016",false
9576,By Amy Sherman ,"Says Patrick Murphy ""never worked as a CPA"" and was ""never a small business owner.""",National Republican Senatorial Committee," September 8, 2016",barely-true
9577,By Linda Qiu ,"Says Russian President Vladimir Putin ""calls me brilliant.""",Donald Trump," September 8, 2016",barely-true
9578,By Nadia Pflaum ,"""As governor, Ted Strickland left only 89 cents in Ohio’s rainy day fund.""",U.S. Chamber of Commerce," September 8, 2016",true
9579,By Allie Morris ,"""I cast the deciding vote extending Medicaid health care coverage to 50,000 of our fellow citizens,""",Colin Van Ostern," September 8, 2016",barely-true
9580,By Amy Sherman ,"""Marco Rubio voted against funding health clinics that provide critical care during this public health emergency (Zika).""",NARAL Pro-Choice America," September 8, 2016",barely-true
9581,By Jon Greenberg ,"Says Donald Trump is ""on record extensively supporting (the) intervention in Libya.""",Hillary Clinton," September 7, 2016",mostly-true
9582,By Lauren Carroll ,"""Classified material has a header which says ‘top-secret, secret, confidential.’ Nothing, and I will repeat this and this is verified in the report by the Department of Justice, none of the emails sent or received by me had such a header.""",Hillary Clinton," September 7, 2016",mostly-true
9583,By C. Eugene Emery Jr. ,"Says Donald Trump supports ""an agenda out there"" to privatize the Veterans Affairs health care system.",Hillary Clinton," September 7, 2016",barely-true
9584,By Miriam Valverde ,"Says Hillary Clinton said the Veterans Affairs scandal is ""over-exaggerated."" ""She said she was satisfied with what was going on.""",Donald Trump," September 7, 2016",barely-true
9585,By Lauren Carroll ,"""I was totally against the war in Iraq.""",Donald Trump," September 7, 2016",false
9586,By Louis Jacobson ,"""Food stamps have gone up two-and-a-half times under Barack Obama.""",Rudy Giuliani," September 7, 2016",false
9587,By Louis Jacobson ,"""I released the most extensive financial review of anybody in the history of politics. … You don't learn much in a tax return.""",Donald Trump," September 7, 2016",false
9588,By Joseph Cariz ,"Young women, ""account for a shocking 74% of all new HIV infections among adolescents in Africa.""",Justin Trudeau," September 7, 2016",mostly-true
9589,By Eric Litke ,Says Russ Feingold broke his 1992 promise to always get the majority of funding from Wisconsin residents.,Ron Johnson," September 7, 2016",true
